#turn count sigx2 sigxp2 sigz2 sigzp2 ex ez sigxp sigzp
0 5000 2.79745e-05 1.06041e-07 1.36082e-05 1.1839e-07 1.01621e-06 1.01773e-06 -0.000262919 0.000205612 
1 5000 2.87298e-05 1.06667e-07 1.37111e-05 1.15441e-07 1.01621e-06 1.01773e-06 -0.000265938 0.000199745 
2 5000 2.91939e-05 1.08204e-07 1.42092e-05 1.13967e-07 1.0163e-06 1.01779e-06 -0.00026986 0.000202643 
3 5000 2.93436e-05 1.09074e-07 1.43074e-05 1.17563e-07 1.01597e-06 1.01806e-06 -0.000271842 0.000212419 
4 5000 2.9404e-05 1.09213e-07 1.39711e-05 1.16196e-07 1.01629e-06 1.0179e-06 -0.00027219 0.000205023 
5 5000 2.95281e-05 1.08968e-07 1.45794e-05 1.14197e-07 1.01669e-06 1.01801e-06 -0.000271959 0.00020764 
6 5000 2.95731e-05 1.08518e-07 1.439e-05 1.15521e-07 1.01566e-06 1.01811e-06 -0.000271361 0.000208538 
7 5000 2.96949e-05 1.09368e-07 1.46785e-05 1.15872e-07 1.01679e-06 1.0178e-06 -0.000273042 0.000212833 
8 5000 3.04141e-05 1.11759e-07 1.48618e-05 1.13563e-07 1.01683e-06 1.01837e-06 -0.00027886 0.000209239 
9 5000 3.10247e-05 1.11148e-07 1.49654e-05 1.14343e-07 1.01676e-06 1.01923e-06 -0.000278973 0.000211963 
10 5000 3.13295e-05 1.10829e-07 1.49966e-05 1.13417e-07 1.01879e-06 1.01735e-06 -0.000278745 0.000210715 
11 5000 3.05326e-05 1.1108e-07 1.51593e-05 1.15027e-07 1.01536e-06 1.0198e-06 -0.000278054 0.00021546 
12 5000 3.25461e-05 1.14506e-07 1.55258e-05 1.13513e-07 1.02003e-06 1.01646e-06 -0.000287292 0.000216718 
13 5000 3.25376e-05 1.12977e-07 1.53641e-05 1.13911e-07 1.01491e-06 1.02192e-06 -0.000285167 0.000214335 
14 5000 3.23299e-05 1.12456e-07 1.57819e-05 1.12039e-07 1.02047e-06 1.0157e-06 -0.000283276 0.000216032 
15 5000 3.32179e-05 1.15396e-07 1.54409e-05 1.11877e-07 1.01851e-06 1.01906e-06 -0.000290115 0.000211239 
16 5000 3.33404e-05 1.14765e-07 1.56466e-05 1.16912e-07 1.01817e-06 1.01947e-06 -0.000289261 0.000224694 
17 5000 3.50795e-05 1.14539e-07 1.6269e-05 1.13652e-07 1.01897e-06 1.01895e-06 -0.000291446 0.000223234 
18 5000 3.48124e-05 1.15052e-07 1.62785e-05 1.11708e-07 1.01818e-06 1.0205e-06 -0.000292015 0.00021848 
19 5000 3.37769e-05 1.14649e-07 1.64495e-05 1.12144e-07 1.01811e-06 1.02137e-06 -0.00028976 0.00022074 
20 5000 3.57809e-05 1.17169e-07 1.63943e-05 1.12023e-07 1.02336e-06 1.01991e-06 -0.00029648 0.000220394 
21 5000 3.65252e-05 1.19916e-07 1.67192e-05 1.12357e-07 1.01766e-06 1.02164e-06 -0.000302592 0.000223448 
22 5000 3.64572e-05 1.17183e-07 1.67942e-05 1.09386e-07 1.02557e-06 1.02076e-06 -0.000297209 0.000217587 
23 5000 3.6794e-05 1.19388e-07 1.71905e-05 1.10084e-07 1.02265e-06 1.02375e-06 -0.000301603 0.000221622 
24 5000 3.7597e-05 1.20654e-07 1.71414e-05 1.12036e-07 1.01937e-06 1.0271e-06 -0.000304984 0.000224706 
25 5000 3.7481e-05 1.21168e-07 1.73871e-05 1.11283e-07 1.02899e-06 1.01813e-06 -0.000304826 0.0002273 
26 5000 3.7783e-05 1.21153e-07 1.76709e-05 1.15135e-07 1.01853e-06 1.03334e-06 -0.000306099 0.000233899 
27 5000 3.97147e-05 1.21677e-07 1.81985e-05 1.13456e-07 1.01941e-06 1.03265e-06 -0.000309049 0.000234222 
28 5000 3.97128e-05 1.26605e-07 1.81699e-05 1.10242e-07 1.03567e-06 1.01965e-06 -0.000315588 0.000230265 
29 5000 4.04358e-05 1.24055e-07 1.83406e-05 1.1175e-07 1.02817e-06 1.02396e-06 -0.000312909 0.000233628 
30 5000 4.06183e-05 1.25609e-07 1.90458e-05 1.12332e-07 1.03232e-06 1.02608e-06 -0.000315234 0.000238855 
31 5000 4.2403e-05 1.30222e-07 1.88935e-05 1.1117e-07 1.03436e-06 1.03012e-06 -0.000324023 0.00023453 
32 5000 4.15136e-05 1.31338e-07 1.89221e-05 1.09043e-07 1.03123e-06 1.03111e-06 -0.000325148 0.000229903 
33 5000 4.15234e-05 1.27826e-07 1.89989e-05 1.08414e-07 1.03544e-06 1.02411e-06 -0.000319384 0.000230673 
34 5000 4.12702e-05 1.28959e-07 1.90456e-05 1.11445e-07 1.0332e-06 1.02767e-06 -0.000321081 0.000236628 
35 5000 4.19756e-05 1.2822e-07 1.87477e-05 1.08154e-07 1.02652e-06 1.03584e-06 -0.000321116 0.000225659 
36 5000 4.24532e-05 1.31963e-07 1.8656e-05 1.08824e-07 1.03734e-06 1.02437e-06 -0.00032652 0.000229297 
37 5000 4.19262e-05 1.27544e-07 1.90236e-05 1.12591e-07 1.03736e-06 1.02405e-06 -0.000319182 0.000239721 
38 5000 4.17192e-05 1.29378e-07 1.8754e-05 1.08127e-07 1.04176e-06 1.02264e-06 -0.000321504 0.000228831 
39 5000 4.11211e-05 1.26243e-07 1.89419e-05 1.0958e-07 1.02623e-06 1.03478e-06 -0.000317226 0.000230329 
40 5000 4.08807e-05 1.27702e-07 1.92827e-05 1.10216e-07 1.02326e-06 1.0398e-06 -0.000319515 0.000232694 
41 5000 4.2489e-05 1.30443e-07 1.91492e-05 1.12074e-07 1.04685e-06 1.02164e-06 -0.000323497 0.000239934 
42 5000 4.11153e-05 1.27659e-07 1.87286e-05 1.09542e-07 1.03531e-06 1.03262e-06 -0.000318731 0.000229364 
43 5000 4.16417e-05 1.2875e-07 1.89974e-05 1.11707e-07 1.0252e-06 1.03611e-06 -0.000321729 0.000234943 
44 5000 4.05299e-05 1.27541e-07 1.89647e-05 1.10617e-07 1.03533e-06 1.02395e-06 -0.000317953 0.000235226 
45 5000 4.15792e-05 1.29463e-07 1.90523e-05 1.10175e-07 1.02944e-06 1.03908e-06 -0.000322452 0.000231312 
46 5000 4.12659e-05 1.27722e-07 1.90134e-05 1.11224e-07 1.04032e-06 1.02527e-06 -0.000318584 0.000236512 
47 5000 4.11086e-05 1.28e-07 1.81837e-05 1.08851e-07 1.03727e-06 1.02603e-06 -0.000319104 0.000225734 
48 5000 4.21423e-05 1.29113e-07 1.822e-05 1.09844e-07 1.04697e-06 1.0214e-06 -0.000321096 0.000229313 
49 5000 4.08968e-05 1.26585e-07 1.8946e-05 1.07735e-07 1.03432e-06 1.03013e-06 -0.0003169 0.00022743 
50 5000 4.0938e-05 1.27737e-07 1.89493e-05 1.10344e-07 1.03233e-06 1.03568e-06 -0.000318912 0.000231817 
51 5000 4.1183e-05 1.25712e-07 1.85084e-05 1.07995e-07 1.03696e-06 1.02801e-06 -0.000315598 0.000225603 
52 5000 4.18162e-05 1.26614e-07 1.83564e-05 1.11711e-07 1.0348e-06 1.03464e-06 -0.000317815 0.000231073 
53 5000 4.16504e-05 1.2761e-07 1.86802e-05 1.11738e-07 1.03971e-06 1.02985e-06 -0.000318835 0.000234439 
54 5000 4.21581e-05 1.29003e-07 1.88051e-05 1.10791e-07 1.03001e-06 1.03154e-06 -0.000322239 0.000232824 
55 5000 4.22052e-05 1.2928e-07 1.86423e-05 1.14055e-07 1.04566e-06 1.02167e-06 -0.000321516 0.000240964 
56 5000 4.18484e-05 1.30631e-07 1.89552e-05 1.10676e-07 1.03775e-06 1.02917e-06 -0.000323878 0.000234088 
57 5000 4.19893e-05 1.27811e-07 1.87838e-05 1.09803e-07 1.03644e-06 1.02613e-06 -0.000319732 0.000231836 
58 5000 4.16362e-05 1.29834e-07 1.83212e-05 1.10348e-07 1.03388e-06 1.03049e-06 -0.000322741 0.000228881 
59 5000 4.08122e-05 1.25217e-07 1.88262e-05 1.10174e-07 1.0344e-06 1.03112e-06 -0.000314642 0.000231729 
60 5000 4.15159e-05 1.28627e-07 1.90038e-05 1.09974e-07 1.04182e-06 1.03179e-06 -0.00032013 0.000232281 
61 5000 4.17873e-05 1.27653e-07 1.89688e-05 1.10071e-07 1.03307e-06 1.03082e-06 -0.000319551 0.000232493 
62 5000 4.16149e-05 1.29158e-07 1.89224e-05 1.09159e-07 1.04033e-06 1.02484e-06 -0.000321171 0.000231631 
63 5000 4.01643e-05 1.26274e-07 1.88039e-05 1.10792e-07 1.02978e-06 1.03004e-06 -0.000316024 0.000233171 
64 5000 4.13841e-05 1.29812e-07 1.87771e-05 1.10139e-07 1.03984e-06 1.028e-06 -0.000322 0.000232075 
65 5000 4.20404e-05 1.28816e-07 1.87144e-05 1.0857e-07 1.04311e-06 1.0229e-06 -0.000320834 0.000229476 
66 5000 4.09893e-05 1.26667e-07 1.90508e-05 1.09873e-07 1.0362e-06 1.02923e-06 -0.000316974 0.000232954 
67 5000 4.19023e-05 1.2923e-07 1.9333e-05 1.09502e-07 1.03881e-06 1.03044e-06 -0.000321678 0.000233623 
68 5000 4.14902e-05 1.26953e-07 1.87619e-05 1.12676e-07 1.03059e-06 1.03369e-06 -0.000318361 0.000236061 
69 5000 4.15007e-05 1.28011e-07 1.85977e-05 1.09128e-07 1.04061e-06 1.02865e-06 -0.000319246 0.000228544 
70 5000 4.12969e-05 1.29466e-07 1.86304e-05 1.0927e-07 1.03232e-06 1.03207e-06 -0.000321965 0.000228245 
71 5000 4.26061e-05 1.29258e-07 1.90387e-05 1.06797e-07 1.04748e-06 1.02175e-06 -0.000321724 0.000227953 
72 5000 4.19801e-05 1.29424e-07 1.84651e-05 1.09492e-07 1.03506e-06 1.03548e-06 -0.000322341 0.00022677 
73 5000 4.20832e-05 1.29316e-07 1.87224e-05 1.08596e-07 1.04157e-06 1.0278e-06 -0.000321771 0.000228414 
74 5000 4.18248e-05 1.26715e-07 1.87694e-05 1.10553e-07 1.03748e-06 1.03352e-06 -0.000317774 0.000231609 
75 5000 4.27979e-05 1.32231e-07 1.94905e-05 1.08226e-07 1.03783e-06 1.03191e-06 -0.000327207 0.000231498 
76 5000 4.24421e-05 1.3028e-07 1.91669e-05 1.08545e-07 1.04328e-06 1.02604e-06 -0.000323473 0.000231557 
77 5000 4.12309e-05 1.2871e-07 1.87454e-05 1.13396e-07 1.03558e-06 1.03377e-06 -0.000320468 0.000237456 
78 5000 4.16242e-05 1.26271e-07 1.908e-05 1.07771e-07 1.0388e-06 1.02673e-06 -0.000316774 0.000229176 
79 5000 4.13147e-05 1.27159e-07 1.90061e-05 1.06695e-07 1.04036e-06 1.02446e-06 -0.000317744 0.000226881 
80 5000 4.13616e-05 1.26859e-07 1.89882e-05 1.07258e-07 1.03727e-06 1.02624e-06 -0.000317563 0.000227582 
81 5000 4.04484e-05 1.26858e-07 1.9145e-05 1.11832e-07 1.03067e-06 1.03899e-06 -0.000317168 0.00023547 
82 5000 4.11005e-05 1.28816e-07 1.87838e-05 1.09861e-07 1.03995e-06 1.03224e-06 -0.00032016 0.000230512 
83 5000 4.15094e-05 1.29579e-07 1.88657e-05 1.10611e-07 1.03964e-06 1.03139e-06 -0.000321776 0.000232861 
84 5000 4.23635e-05 1.29261e-07 1.875e-05 1.09432e-07 1.04279e-06 1.02491e-06 -0.000321858 0.000231102 
85 5000 4.05864e-05 1.26946e-07 1.87698e-05 1.12285e-07 1.04241e-06 1.02537e-06 -0.000316502 0.000237213 
