#turn count sigx2 sigxp2 sigz2 sigzp2 ex ez sigxp sigzp
0 5000 2.79745e-05 1.06041e-07 1.36082e-05 1.1839e-07 1.01621e-06 1.01773e-06 -0.000262919 0.000205612 
1 5000 2.86514e-05 1.06702e-07 1.36441e-05 1.18092e-07 1.01621e-06 1.01773e-06 -0.000265817 0.000205373 
2 5000 2.88893e-05 1.06311e-07 1.4312e-05 1.13903e-07 1.01666e-06 1.01818e-06 -0.000265582 0.000203635 
3 5000 2.90718e-05 1.09416e-07 1.47711e-05 1.15984e-07 1.01649e-06 1.01827e-06 -0.000271799 0.000213982 
4 5000 3.17238e-05 1.1645e-07 1.49516e-05 1.16241e-07 1.02027e-06 1.0199e-06 -0.0002892 0.000216035 
5 5000 3.3776e-05 1.1769e-07 1.55395e-05 1.15159e-07 1.02225e-06 1.01828e-06 -0.000294535 0.000220076 
6 5000 3.48854e-05 1.12971e-07 1.6028e-05 1.13931e-07 1.02081e-06 1.02387e-06 -0.000288271 0.000220287 
7 5000 3.58656e-05 1.20206e-07 1.67641e-05 1.13911e-07 1.02578e-06 1.02236e-06 -0.000301443 0.000227073 
8 5000 3.72422e-05 1.21105e-07 1.74047e-05 1.1064e-07 1.02801e-06 1.02557e-06 -0.000304514 0.000224073 
9 5000 3.83324e-05 1.20945e-07 1.81021e-05 1.0869e-07 1.03123e-06 1.0323e-06 -0.00030529 0.000223207 
10 5000 4.3055e-05 1.3175e-07 1.86384e-05 1.11855e-07 1.03911e-06 1.03499e-06 -0.000326606 0.000233199 
11 5000 4.49964e-05 1.32251e-07 1.91119e-05 1.10684e-07 1.05615e-06 1.03337e-06 -0.000327813 0.000234116 
12 5000 4.69966e-05 1.34283e-07 2.00888e-05 1.13022e-07 1.06762e-06 1.03646e-06 -0.000331707 0.000244023 
13 5000 4.914e-05 1.41484e-07 2.11384e-05 1.09981e-07 1.08969e-06 1.03683e-06 -0.000342519 0.000243156 
14 5000 5.17206e-05 1.45479e-07 2.19475e-05 1.11731e-07 1.09189e-06 1.059e-06 -0.000349896 0.000246236 
15 5000 5.5941e-05 1.58486e-07 2.29874e-05 1.14317e-07 1.11094e-06 1.07402e-06 -0.000369356 0.000253251 
16 5000 6.11176e-05 1.68489e-07 2.36316e-05 1.11958e-07 1.15031e-06 1.07579e-06 -0.000383195 0.000250967 
17 5000 6.31245e-05 1.68944e-07 2.50139e-05 1.13407e-07 1.15256e-06 1.09913e-06 -0.000384578 0.000255168 
18 5000 6.69779e-05 1.7789e-07 2.64698e-05 1.19248e-07 1.18568e-06 1.12038e-06 -0.000396107 0.000268003 
19 5000 7.17928e-05 1.89291e-07 2.75123e-05 1.21482e-07 1.22837e-06 1.13066e-06 -0.000410212 0.000273891 
20 5000 7.43398e-05 1.91504e-07 2.81993e-05 1.22408e-07 1.23435e-06 1.15114e-06 -0.000413532 0.000274621 
21 5000 7.94467e-05 2.0144e-07 2.99806e-05 1.26634e-07 1.27866e-06 1.17442e-06 -0.000425276 0.000283951 
22 5000 8.30682e-05 2.09032e-07 3.07344e-05 1.29868e-07 1.30149e-06 1.18546e-06 -0.000434328 0.000290075 
23 5000 8.97853e-05 2.23066e-07 3.10027e-05 1.3296e-07 1.35731e-06 1.18822e-06 -0.000450053 0.000295668 
24 4988 9.32756e-05 2.34014e-07 3.44876e-05 1.44675e-07 1.39448e-06 1.33616e-06 -0.000461699 0.000304809 
25 4988 9.81913e-05 2.49391e-07 3.61421e-05 1.48033e-07 1.439e-06 1.32103e-06 -0.00047781 0.00031583 
26 4988 0.000103967 2.65198e-07 3.53559e-05 1.4909e-07 1.48725e-06 1.33521e-06 -0.000493885 0.000314112 
27 4988 0.000109744 2.73596e-07 3.7677e-05 1.5136e-07 1.49188e-06 1.35369e-06 -0.000503304 0.000320505 
28 4974 0.000109496 2.76843e-07 3.92106e-05 1.56067e-07 1.52568e-06 1.42468e-06 -0.000505554 0.000322959 
29 4974 0.000116609 2.92317e-07 3.98392e-05 1.58185e-07 1.55613e-06 1.43079e-06 -0.000521106 0.000326801 
30 4958 0.000121641 3.08692e-07 4.07584e-05 1.57669e-07 1.64932e-06 1.44305e-06 -0.000535097 0.000326464 
31 4948 0.000124913 3.16394e-07 4.2949e-05 1.69674e-07 1.68309e-06 1.49059e-06 -0.000541955 0.000343426 
32 4941 0.000125469 3.28526e-07 4.35051e-05 1.60844e-07 1.68264e-06 1.5368e-06 -0.000553137 0.00032643 
33 4941 0.000123421 3.18708e-07 4.26556e-05 1.65444e-07 1.71914e-06 1.52762e-06 -0.00054292 0.00033277 
34 4926 0.000124254 3.31008e-07 4.28907e-05 1.63141e-07 1.73808e-06 1.54215e-06 -0.000553801 0.000328164 
35 4926 0.000122143 3.17286e-07 4.28634e-05 1.62178e-07 1.71079e-06 1.56349e-06 -0.000541594 0.000324266 
36 4926 0.0001215 3.0873e-07 4.26124e-05 1.72835e-07 1.72285e-06 1.59604e-06 -0.000533199 0.000336237 
37 4926 0.000123054 3.14761e-07 4.3916e-05 1.73107e-07 1.74474e-06 1.57536e-06 -0.000538538 0.000341461 
38 4926 0.000123893 3.16903e-07 4.32867e-05 1.73546e-07 1.73427e-06 1.58437e-06 -0.00054095 0.000339935 
39 4926 0.000124906 3.17362e-07 4.29115e-05 1.70218e-07 1.7509e-06 1.60106e-06 -0.000541127 0.000332387 
40 4926 0.000125023 3.16038e-07 4.2889e-05 1.69799e-07 1.74664e-06 1.59096e-06 -0.000540033 0.00033284 
41 4926 0.000122052 3.11154e-07 4.38781e-05 1.77357e-07 1.74267e-06 1.60994e-06 -0.000535044 0.000343928 
42 4926 0.000122697 3.17268e-07 4.25009e-05 1.68553e-07 1.78252e-06 1.57656e-06 -0.000539789 0.000331768 
43 4926 0.000122968 3.15335e-07 4.36588e-05 1.7227e-07 1.76084e-06 1.60036e-06 -0.000538629 0.000337057 
44 4926 0.000122172 3.13309e-07 4.33922e-05 1.74124e-07 1.77123e-06 1.61606e-06 -0.000536312 0.000337545 
45 4926 0.000121917 3.165e-07 4.39286e-05 1.77799e-07 1.75906e-06 1.62824e-06 -0.000539555 0.000342706 
46 4926 0.000118798 3.09745e-07 4.44949e-05 1.76334e-07 1.74625e-06 1.60619e-06 -0.000532988 0.000344026 
47 4926 0.000122012 3.17888e-07 4.27033e-05 1.70123e-07 1.77143e-06 1.62833e-06 -0.000540527 0.000328683 
48 4926 0.00012247 3.13625e-07 4.36752e-05 1.76702e-07 1.78578e-06 1.59739e-06 -0.00053627 0.000343917 
49 4926 0.00012214 3.10824e-07 4.41236e-05 1.77049e-07 1.76391e-06 1.62516e-06 -0.000534182 0.000342333 
50 4926 0.000118638 3.06805e-07 4.39897e-05 1.79507e-07 1.782e-06 1.61822e-06 -0.000529187 0.000346379 
51 4926 0.000120503 3.13655e-07 4.43151e-05 1.7721e-07 1.80557e-06 1.61968e-06 -0.000535352 0.000343528 
52 4926 0.000122763 3.11725e-07 4.36623e-05 1.78206e-07 1.80485e-06 1.66665e-06 -0.000534032 0.000338508 
53 4926 0.000121556 3.18084e-07 4.38341e-05 1.79839e-07 1.79486e-06 1.62132e-06 -0.000539983 0.000346223 
54 4926 0.000119211 3.09648e-07 4.40981e-05 1.76418e-07 1.77344e-06 1.6643e-06 -0.000532227 0.000337055 
55 4926 0.000118352 3.0561e-07 4.26413e-05 1.73096e-07 1.78463e-06 1.64641e-06 -0.00052792 0.000330948 
56 4926 0.000119649 3.05342e-07 4.44961e-05 1.79008e-07 1.7963e-06 1.63286e-06 -0.000527612 0.000345091 
57 4926 0.000118301 3.06333e-07 4.37534e-05 1.76266e-07 1.77728e-06 1.67755e-06 -0.000528803 0.000334584 
58 4926 0.000121543 3.14664e-07 4.34933e-05 1.70928e-07 1.82316e-06 1.63152e-06 -0.000536019 0.00033125 
59 4926 0.000117566 3.01164e-07 4.47637e-05 1.81369e-07 1.79156e-06 1.66231e-06 -0.000523319 0.000345888 
60 4926 0.000118131 3.03466e-07 4.49802e-05 1.82639e-07 1.8294e-06 1.67808e-06 -0.000524534 0.000346459 
61 4926 0.00012177 3.12685e-07 4.45056e-05 1.77308e-07 1.81643e-06 1.66319e-06 -0.000534405 0.000339343 
62 4926 0.000120749 3.10706e-07 4.38184e-05 1.80841e-07 1.80769e-06 1.6638e-06 -0.000532582 0.000343025 
63 4926 0.000119204 3.10652e-07 4.46094e-05 1.7695e-07 1.82325e-06 1.6868e-06 -0.000531756 0.000336404 
64 4926 0.000118333 3.0341e-07 4.42396e-05 1.84147e-07 1.83569e-06 1.6708e-06 -0.000524341 0.000347917 
65 4926 0.000117855 3.0023e-07 4.40566e-05 1.82096e-07 1.82187e-06 1.66104e-06 -0.0005216 0.000345646 
66 4926 0.000117719 3.04738e-07 4.51443e-05 1.82215e-07 1.81903e-06 1.68421e-06 -0.000525956 0.000345516 
67 4926 0.000117993 3.05436e-07 4.51667e-05 1.82061e-07 1.81828e-06 1.69348e-06 -0.000526703 0.000344333 
68 4926 0.000120334 3.10936e-07 4.41098e-05 1.77523e-07 1.83234e-06 1.70067e-06 -0.00053201 0.000334595 
69 4926 0.000118581 3.11471e-07 4.46155e-05 1.83642e-07 1.85883e-06 1.69317e-06 -0.00053135 0.000345522 
70 4926 0.000116169 3.04608e-07 4.34715e-05 1.76442e-07 1.85426e-06 1.67048e-06 -0.000524415 0.000335038 
71 4926 0.000117254 3.02242e-07 4.45845e-05 1.86767e-07 1.84793e-06 1.7176e-06 -0.000522607 0.00034727 
72 4926 0.00011843 3.1082e-07 4.44221e-05 1.82378e-07 1.85725e-06 1.67727e-06 -0.000530749 0.000345034 
73 4926 0.000119968 3.03402e-07 4.41949e-05 1.84904e-07 1.8451e-06 1.71347e-06 -0.000524428 0.000344196 
74 4926 0.000116428 3.02916e-07 4.48794e-05 1.80019e-07 1.86474e-06 1.67482e-06 -0.000522542 0.000342808 
75 4926 0.000119693 3.0648e-07 4.35737e-05 1.76885e-07 1.86369e-06 1.69656e-06 -0.000526746 0.000332909 
76 4926 0.000115413 2.99679e-07 4.53087e-05 1.90831e-07 1.84486e-06 1.74044e-06 -0.000519797 0.000352101 
77 4926 0.000118806 3.04588e-07 4.52198e-05 1.86667e-07 1.87816e-06 1.70596e-06 -0.000524307 0.000349725 
78 4926 0.000119367 3.10537e-07 4.41905e-05 1.80458e-07 1.87927e-06 1.71025e-06 -0.000530048 0.000338035 
79 4926 0.000116598 3.02016e-07 4.55816e-05 1.82382e-07 1.85758e-06 1.71215e-06 -0.00052194 0.000343613 
80 4926 0.000118771 3.02259e-07 4.43494e-05 1.83131e-07 1.85445e-06 1.75302e-06 -0.000522785 0.0003374 
81 4926 0.000120798 3.15864e-07 4.42643e-05 1.8477e-07 1.90156e-06 1.70905e-06 -0.000534724 0.000344649 
82 4926 0.000118357 3.1104e-07 4.52887e-05 1.81555e-07 1.8805e-06 1.7133e-06 -0.000530247 0.000341672 
83 4926 0.0001179 3.0544e-07 4.3598e-05 1.82721e-07 1.89569e-06 1.71279e-06 -0.000524366 0.000339754 
84 4926 0.000117624 2.99741e-07 4.58021e-05 1.87177e-07 1.88905e-06 1.72955e-06 -0.00051904 0.000349095 
85 4926 0.000116786 3.03525e-07 4.50156e-05 1.9044e-07 1.85245e-06 1.77375e-06 -0.000523585 0.000347202 
86 4925 0.000117836 3.06029e-07 4.45363e-05 1.84172e-07 1.88095e-06 1.72596e-06 -0.000525361 0.000342467 
87 4925 0.00011329 2.98607e-07 4.47108e-05 1.83491e-07 1.87289e-06 1.74208e-06 -0.000517344 0.00034002 
88 4925 0.000118082 3.06027e-07 4.31975e-05 1.83927e-07 1.91706e-06 1.72749e-06 -0.000524313 0.000338887 
89 4925 0.000119879 3.11553e-07 4.37192e-05 1.85544e-07 1.93992e-06 1.6879e-06 -0.000529302 0.000346956 
90 4925 0.000116701 3.03218e-07 4.51882e-05 1.88523e-07 1.8698e-06 1.74202e-06 -0.000522742 0.000348379 
91 4925 0.000116561 2.9698e-07 4.41458e-05 1.86567e-07 1.88125e-06 1.73959e-06 -0.00051635 0.000343537 
92 4925 0.000118536 3.03887e-07 4.53795e-05 1.8796e-07 1.87667e-06 1.76846e-06 -0.000523618 0.000345025 
93 4925 0.000117504 3.05972e-07 4.45999e-05 1.87691e-07 1.86792e-06 1.76964e-06 -0.000525622 0.000342747 
94 4925 0.000119727 3.09021e-07 4.44563e-05 1.88022e-07 1.90264e-06 1.75378e-06 -0.000528001 0.000344726 
95 4925 0.000117322 3.03784e-07 4.44888e-05 1.82962e-07 1.9061e-06 1.73504e-06 -0.000522318 0.000339553 
96 4925 0.000119344 3.09065e-07 4.46083e-05 1.82567e-07 1.95671e-06 1.72851e-06 -0.000526292 0.000339985 
97 4925 0.00011676 3.07372e-07 4.28333e-05 1.792e-07 1.94668e-06 1.71699e-06 -0.000524325 0.000332227 
98 4925 0.000116621 3.02111e-07 4.4157e-05 1.85807e-07 1.92039e-06 1.7311e-06 -0.000520085 0.000343427 
99 4925 0.000115797 2.99627e-07 4.52315e-05 1.88298e-07 1.9334e-06 1.74979e-06 -0.000517055 0.000347285 
100 4925 0.000117998 3.09626e-07 4.33866e-05 1.85509e-07 1.93688e-06 1.75271e-06 -0.000527099 0.000338679 
101 4925 0.000115672 2.99293e-07 4.52194e-05 1.90894e-07 1.90196e-06 1.76895e-06 -0.000517706 0.000348847 
102 4925 0.000114697 3.02071e-07 4.61773e-05 1.93123e-07 1.90332e-06 1.76896e-06 -0.000520084 0.000354059 
103 4925 0.000117899 3.03647e-07 4.56485e-05 1.87721e-07 1.93201e-06 1.77782e-06 -0.000521524 0.000344213 
104 4925 0.000119652 3.08392e-07 4.42306e-05 1.86218e-07 1.94501e-06 1.75053e-06 -0.000526094 0.000341961 
105 4925 0.000116237 3.014e-07 4.47182e-05 1.8618e-07 1.94187e-06 1.7748e-06 -0.000518613 0.000340207 
106 4925 0.000118634 3.07394e-07 4.52404e-05 1.87456e-07 1.93921e-06 1.76179e-06 -0.000525067 0.000344742 
107 4925 0.000115375 3.00848e-07 4.50262e-05 1.84377e-07 1.91648e-06 1.79613e-06 -0.000518665 0.000335749 
108 4925 0.000117117 3.03721e-07 4.44369e-05 1.87126e-07 1.96007e-06 1.76428e-06 -0.000520497 0.000342168 
109 4925 0.000117654 3.07691e-07 4.42445e-05 1.91613e-07 1.95471e-06 1.77147e-06 -0.00052461 0.000347399 
110 4925 0.000115242 2.99264e-07 4.46759e-05 1.8729e-07 1.94227e-06 1.77949e-06 -0.000516265 0.00034119 
111 4925 0.000114829 3.00237e-07 4.5844e-05 1.93825e-07 1.93024e-06 1.80929e-06 -0.000517485 0.000349884 
112 4925 0.000117653 3.08091e-07 4.4126e-05 1.8912e-07 1.95762e-06 1.79134e-06 -0.000524899 0.000341173 
113 4925 0.000115875 3.00434e-07 4.48444e-05 1.84839e-07 1.95887e-06 1.77367e-06 -0.000517029 0.000338654 
114 4925 0.000116309 3.04187e-07 4.54493e-05 1.88234e-07 1.95951e-06 1.78559e-06 -0.000520744 0.00034363 
115 4925 0.000116489 3.03656e-07 4.43912e-05 1.86022e-07 1.96207e-06 1.76263e-06 -0.000520199 0.000340637 
116 4925 0.000114637 2.98137e-07 4.51899e-05 1.94289e-07 1.94773e-06 1.82291e-06 -0.000514824 0.000347498 
117 4925 0.000116978 3.00901e-07 4.50164e-05 1.90413e-07 1.94213e-06 1.80578e-06 -0.000518321 0.000343477 
118 4925 0.000116635 3.07266e-07 4.54137e-05 1.93582e-07 1.96306e-06 1.79998e-06 -0.000523666 0.000349627 
119 4925 0.000113442 2.98097e-07 4.50756e-05 1.9426e-07 1.94289e-06 1.79174e-06 -0.000514609 0.00035077 
120 4925 0.000115989 3.03639e-07 4.35954e-05 1.87404e-07 1.99727e-06 1.77686e-06 -0.000518891 0.000339091 
121 4925 0.000114766 2.97455e-07 4.62714e-05 1.99021e-07 1.93329e-06 1.83148e-06 -0.000514672 0.000355708 
122 4925 0.000114603 3.02002e-07 4.53917e-05 1.9301e-07 1.94049e-06 1.80113e-06 -0.000518792 0.000348628 
123 4925 0.000118566 3.07423e-07 4.5273e-05 1.87631e-07 2.01174e-06 1.77676e-06 -0.00052277 0.000343368 
124 4925 0.000116455 3.04299e-07 4.54231e-05 1.99935e-07 1.96306e-06 1.83538e-06 -0.000520776 0.000354646 
125 4925 0.000116908 3.07182e-07 4.52384e-05 1.86201e-07 1.95829e-06 1.80645e-06 -0.000523813 0.000337737 
