#turn count sigx2 sigxp2 sigz2 sigzp2 ex ez sigxp sigzp
0 5000 2.79745e-05 1.06041e-07 1.36082e-05 1.1839e-07 1.01621e-06 1.01773e-06 -0.000262919 0.000205612 
1 5000 2.87149e-05 1.06595e-07 1.35865e-05 1.18244e-07 1.01621e-06 1.01773e-06 -0.000265767 0.000204961 
2 5000 2.91719e-05 1.07307e-07 1.38506e-05 1.15497e-07 1.01639e-06 1.01787e-06 -0.000268132 0.000201729 
3 5000 2.93734e-05 1.0738e-07 1.42816e-05 1.16012e-07 1.01593e-06 1.0182e-06 -0.000268779 0.000208374 
4 5000 2.92992e-05 1.07395e-07 1.44258e-05 1.15466e-07 1.01613e-06 1.01817e-06 -0.000268616 0.000208813 
5 5000 2.94459e-05 1.10024e-07 1.44588e-05 1.15165e-07 1.01723e-06 1.01738e-06 -0.000273648 0.000208754 
6 5000 3.07547e-05 1.12751e-07 1.49468e-05 1.1666e-07 1.01759e-06 1.01917e-06 -0.000281214 0.000217179 
7 5000 3.11777e-05 1.13144e-07 1.50501e-05 1.15091e-07 1.0195e-06 1.0177e-06 -0.000282501 0.000215115 
8 5000 3.21135e-05 1.15417e-07 1.52548e-05 1.15405e-07 1.01734e-06 1.01911e-06 -0.000288423 0.000217537 
9 5000 3.35747e-05 1.12707e-07 1.55693e-05 1.15167e-07 1.01955e-06 1.01882e-06 -0.000285915 0.000220221 
10 5000 3.3026e-05 1.13506e-07 1.59603e-05 1.1253e-07 1.01813e-06 1.02118e-06 -0.000286563 0.000217237 
11 5000 3.4953e-05 1.17491e-07 1.58455e-05 1.13905e-07 1.02068e-06 1.02159e-06 -0.000296118 0.000219184 
12 5000 3.44556e-05 1.16451e-07 1.66722e-05 1.14964e-07 1.01875e-06 1.02264e-06 -0.000293819 0.000228556 
13 5000 3.52432e-05 1.17442e-07 1.69113e-05 1.13751e-07 1.02109e-06 1.02157e-06 -0.000296409 0.000228124 
