#turn count sigx2 sigxp2 sigz2 sigzp2 ex ez sigxp sigzp
0 5000 2.79745e-05 1.06041e-07 1.36082e-05 1.1839e-07 1.01621e-06 1.01773e-06 -0.000262919 0.000205612 
1 5000 2.9082e-05 1.01505e-07 1.15156e-05 1.1202e-07 1.01621e-06 1.01773e-06 -0.000256897 0.000148578 
2 4872 3.15277e-05 1.07022e-07 1.70755e-05 8.83831e-08 1.03058e-06 1.16258e-06 -0.000270804 9.60661e-05 
3 4872 3.24084e-05 1.11751e-07 2.18538e-05 1.04262e-07 1.03e-06 1.15745e-06 -0.000281097 0.000207269 
4 4872 3.23478e-05 1.14208e-07 1.63989e-05 1.52744e-07 1.03021e-06 1.15881e-06 -0.000285304 0.000266192 
5 4872 3.21269e-05 1.15227e-07 1.34789e-05 1.23587e-07 1.03068e-06 1.18013e-06 -0.000286638 0.000142345 
6 4872 3.20173e-05 1.13735e-07 1.82902e-05 1.06884e-07 1.0305e-06 1.2103e-06 -0.000283844 0.000163695 
7 4792 3.23224e-05 1.15781e-07 1.86236e-05 1.39398e-07 1.0407e-06 1.32294e-06 -0.000286833 0.000213126 
8 4570 3.42999e-05 1.16882e-07 2.70489e-05 5.87992e-07 1.07436e-06 2.95474e-06 -0.000288496 0.000514999 
9 4440 3.28862e-05 1.15572e-07 2.02694e-05 1.72581e-07 1.07822e-06 1.65173e-06 -0.000283233 0.000194894 
10 4434 3.41103e-05 1.20043e-07 2.36939e-05 1.45383e-07 1.08143e-06 1.60492e-06 -0.000292844 0.000191503 
11 4434 3.43949e-05 1.16349e-07 2.49444e-05 1.55531e-07 1.08072e-06 1.59438e-06 -0.00028704 0.000231565 
12 3977 3.28787e-05 1.22775e-07 2.5849e-05 2.28926e-07 1.12113e-06 2.13736e-06 -0.000290767 0.000228465 
13 3880 3.66245e-05 1.28519e-07 3.45577e-05 1.89222e-07 1.14025e-06 2.17123e-06 -0.00030499 0.000229794 
14 3801 3.57371e-05 1.21883e-07 3.21612e-05 2.34811e-07 1.15238e-06 2.25921e-06 -0.000291073 0.000275879 
15 3801 3.57434e-05 1.28313e-07 3.23418e-05 2.37976e-07 1.15446e-06 2.26282e-06 -0.000301704 0.000282234 
16 3800 3.66963e-05 1.27497e-07 3.11728e-05 2.24174e-07 1.15476e-06 2.26074e-06 -0.000301925 0.000245395 
17 3800 3.61218e-05 1.29596e-07 3.22032e-05 2.16854e-07 1.15324e-06 2.25463e-06 -0.000304593 0.000242904 
18 3800 3.7199e-05 1.29502e-07 3.41187e-05 2.29944e-07 1.15252e-06 2.25749e-06 -0.000306259 0.000283859 
19 3660 3.74584e-05 1.24013e-07 3.42114e-05 2.35977e-07 1.16999e-06 2.3792e-06 -0.000295752 0.000265551 
20 3660 3.69411e-05 1.33269e-07 3.24459e-05 2.52575e-07 1.17751e-06 2.37965e-06 -0.000309411 0.000279369 
21 3660 3.92134e-05 1.37914e-07 3.52572e-05 2.22553e-07 1.17302e-06 2.37656e-06 -0.000320663 0.000249715 
22 3660 3.9364e-05 1.29787e-07 3.58493e-05 2.46167e-07 1.16973e-06 2.37902e-06 -0.000308265 0.00029714 
23 3660 3.89393e-05 1.31459e-07 3.32703e-05 2.48003e-07 1.17409e-06 2.38362e-06 -0.000309932 0.000277906 
24 3660 3.8155e-05 1.29536e-07 3.46349e-05 2.25836e-07 1.17407e-06 2.38071e-06 -0.000305627 0.000249386 
25 3660 3.91074e-05 1.36082e-07 3.63639e-05 2.45893e-07 1.17547e-06 2.37636e-06 -0.000317413 0.000300997 
26 3660 3.91725e-05 1.34038e-07 3.44109e-05 2.3871e-07 1.17518e-06 2.38313e-06 -0.000314296 0.000271416 
27 3660 4.05747e-05 1.36893e-07 3.46357e-05 2.33929e-07 1.17056e-06 2.38393e-06 -0.000321128 0.000264283 
28 3660 3.97988e-05 1.2933e-07 3.58642e-05 2.43489e-07 1.17253e-06 2.38133e-06 -0.000307873 0.000292185 
29 3660 3.92688e-05 1.3521e-07 3.47012e-05 2.37097e-07 1.17442e-06 2.38353e-06 -0.000316363 0.000270887 
30 3660 4.06011e-05 1.3305e-07 3.59674e-05 2.36958e-07 1.17499e-06 2.37935e-06 -0.000314717 0.000282058 
31 3660 4.08005e-05 1.37582e-07 3.46889e-05 2.40031e-07 1.17551e-06 2.38577e-06 -0.000322047 0.000275584 
32 3660 3.97374e-05 1.31094e-07 3.51478e-05 2.38222e-07 1.17481e-06 2.38765e-06 -0.000310421 0.000275725 
33 3660 4.1788e-05 1.41202e-07 3.62476e-05 2.36239e-07 1.17922e-06 2.37597e-06 -0.00032852 0.00028372 
34 3660 4.17667e-05 1.35018e-07 3.48105e-05 2.48736e-07 1.18068e-06 2.38632e-06 -0.000318813 0.000291805 
35 3660 4.06654e-05 1.38019e-07 3.62732e-05 2.2599e-07 1.17696e-06 2.38363e-06 -0.000322421 0.000263352 
36 3660 4.08405e-05 1.34815e-07 3.61253e-05 2.40976e-07 1.17925e-06 2.37922e-06 -0.000317435 0.00029031 
