#turn count sigx2 sigxp2 sigz2 sigzp2 ex ez sigxp sigzp
0 5000 2.79745e-05 1.06041e-07 1.36082e-05 1.1839e-07 1.01621e-06 1.01773e-06 -0.000262919 0.000205612 
1 5000 2.87501e-05 1.06474e-07 1.36031e-05 1.18348e-07 1.01621e-06 1.01773e-06 -0.000265621 0.00020544 
2 5000 2.90159e-05 1.06192e-07 1.42613e-05 1.13634e-07 1.01663e-06 1.01815e-06 -0.000265655 0.000202352 
3 5000 2.91713e-05 1.09514e-07 1.47734e-05 1.15816e-07 1.01633e-06 1.01841e-06 -0.000272222 0.000213566 
4 5000 3.18999e-05 1.1675e-07 1.49191e-05 1.15672e-07 1.02059e-06 1.01962e-06 -0.000289996 0.000214447 
5 5000 3.39832e-05 1.17874e-07 1.55302e-05 1.1495e-07 1.02225e-06 1.01836e-06 -0.000295167 0.000219483 
6 5000 3.48335e-05 1.12701e-07 1.60062e-05 1.13531e-07 1.02018e-06 1.02346e-06 -0.000287789 0.000219293 
7 5000 3.60207e-05 1.20307e-07 1.66652e-05 1.1383e-07 1.02537e-06 1.02189e-06 -0.000301859 0.000226206 
8 5000 3.74468e-05 1.21445e-07 1.75123e-05 1.10378e-07 1.02801e-06 1.02616e-06 -0.000305325 0.00022416 
9 5000 3.81728e-05 1.2097e-07 1.83191e-05 1.08556e-07 1.02887e-06 1.03397e-06 -0.00030535 0.000224044 
10 5000 4.29571e-05 1.30252e-07 1.86438e-05 1.10946e-07 1.04061e-06 1.03302e-06 -0.000324105 0.000231751 
11 5000 4.43097e-05 1.31837e-07 1.97355e-05 1.0892e-07 1.05323e-06 1.03836e-06 -0.000326805 0.000232997 
12 5000 4.53123e-05 1.33927e-07 2.04285e-05 1.1186e-07 1.05863e-06 1.04621e-06 -0.000330446 0.000241414 
13 5000 4.9303e-05 1.43939e-07 2.10365e-05 1.09413e-07 1.09054e-06 1.03374e-06 -0.000346146 0.000242105 
14 5000 5.3833e-05 1.53537e-07 2.20264e-05 1.14608e-07 1.09653e-06 1.06081e-06 -0.000362218 0.000252028 
15 5000 5.74876e-05 1.64003e-07 2.32619e-05 1.13958e-07 1.12156e-06 1.07057e-06 -0.00037699 0.000254339 
16 5000 6.30832e-05 1.74513e-07 2.359e-05 1.13704e-07 1.14792e-06 1.0619e-06 -0.000391949 0.000256716 
17 5000 6.64161e-05 1.78665e-07 2.49518e-05 1.16381e-07 1.17665e-06 1.067e-06 -0.000397264 0.000265994 
18 5000 6.96473e-05 1.85803e-07 2.56287e-05 1.14657e-07 1.1966e-06 1.0772e-06 -0.000406502 0.000263404 
19 5000 7.24915e-05 1.94149e-07 2.67673e-05 1.19042e-07 1.21489e-06 1.08365e-06 -0.00041688 0.000274175 
20 5000 7.79901e-05 2.08601e-07 2.76983e-05 1.17406e-07 1.26705e-06 1.08866e-06 -0.000433608 0.000273161 
21 5000 8.2079e-05 2.15626e-07 2.86312e-05 1.2133e-07 1.28727e-06 1.109e-06 -0.000442084 0.000279953 
22 5000 8.6828e-05 2.23077e-07 3.00899e-05 1.22298e-07 1.30738e-06 1.1163e-06 -0.00045099 0.000284403 
23 5000 9.33932e-05 2.39924e-07 3.0957e-05 1.26268e-07 1.35745e-06 1.14386e-06 -0.000469248 0.000289833 
24 4974 9.96623e-05 2.49888e-07 3.63959e-05 1.4223e-07 1.37123e-06 1.25049e-06 -0.000480647 0.000315065 
25 4974 0.000102871 2.61962e-07 3.268e-05 1.32357e-07 1.414e-06 1.20492e-06 -0.00049247 0.000296531 
26 4939 0.000112841 2.80321e-07 3.99596e-05 1.53844e-07 1.52306e-06 1.36755e-06 -0.00050967 0.000327173 
27 4939 0.000116707 2.97334e-07 3.63934e-05 1.4589e-07 1.54946e-06 1.32436e-06 -0.000526083 0.000312564 
28 4939 0.000117721 2.96535e-07 3.63688e-05 1.48033e-07 1.53363e-06 1.33197e-06 -0.000525885 0.000315042 
29 4939 0.000122434 3.1101e-07 3.84017e-05 1.5576e-07 1.61744e-06 1.35682e-06 -0.000538185 0.000328359 
30 4924 0.000131773 3.31641e-07 4.15061e-05 1.53246e-07 1.65662e-06 1.36707e-06 -0.000557507 0.000328966 
31 4888 0.000125799 3.07071e-07 3.95264e-05 1.99547e-07 1.79218e-06 1.52347e-06 -0.000530602 0.00037527 
32 4887 0.00013519 3.41619e-07 4.13895e-05 1.67392e-07 1.72675e-06 1.52402e-06 -0.000565299 0.00033358 
33 4885 0.000130564 3.36122e-07 3.96783e-05 1.62389e-07 1.68548e-06 1.49801e-06 -0.000560682 0.000325321 
34 4885 0.000130694 3.35718e-07 3.88087e-05 1.60488e-07 1.72449e-06 1.4786e-06 -0.000559432 0.000322729 
35 4885 0.000131348 3.36344e-07 3.98875e-05 1.65495e-07 1.71572e-06 1.48795e-06 -0.000560297 0.000331646 
36 4885 0.000133662 3.42038e-07 4.00631e-05 1.63633e-07 1.7144e-06 1.50646e-06 -0.000565728 0.000327088 
37 4885 0.00013052 3.37629e-07 4.05829e-05 1.68487e-07 1.70253e-06 1.50489e-06 -0.000561623 0.000335682 
38 4885 0.000132211 3.39199e-07 3.9275e-05 1.59321e-07 1.72725e-06 1.46625e-06 -0.000562702 0.000323391 
39 4885 0.000129201 3.34539e-07 3.89102e-05 1.59177e-07 1.71737e-06 1.49241e-06 -0.000558311 0.000319273 
40 4885 0.000129852 3.32351e-07 3.92843e-05 1.64136e-07 1.71157e-06 1.49567e-06 -0.000556588 0.000327402 
41 4885 0.00013186 3.33303e-07 4.00278e-05 1.68207e-07 1.6974e-06 1.48689e-06 -0.00055808 0.000336117 
42 4885 0.000134359 3.48802e-07 4.02861e-05 1.60741e-07 1.71935e-06 1.46535e-06 -0.000571664 0.000327782 
43 4885 0.000130537 3.39837e-07 3.99124e-05 1.60902e-07 1.71014e-06 1.47932e-06 -0.000563412 0.000325688 
44 4885 0.000129204 3.27236e-07 3.94179e-05 1.62123e-07 1.71739e-06 1.48148e-06 -0.000551732 0.000326257 
45 4885 0.000128093 3.25911e-07 3.96211e-05 1.6667e-07 1.70873e-06 1.48637e-06 -0.000550561 0.000333031 
46 4885 0.000129023 3.2917e-07 4.01934e-05 1.65211e-07 1.69172e-06 1.51648e-06 -0.000554066 0.000328627 
47 4885 0.000131435 3.3962e-07 3.98473e-05 1.66841e-07 1.72397e-06 1.47311e-06 -0.000563034 0.000335234 
48 4885 0.000129947 3.34645e-07 4.07541e-05 1.60607e-07 1.70626e-06 1.47082e-06 -0.000558785 0.000327911 
49 4885 0.000128568 3.31753e-07 3.97613e-05 1.63186e-07 1.70216e-06 1.50695e-06 -0.000556073 0.000325689 
50 4885 0.000130457 3.34036e-07 4.01919e-05 1.67581e-07 1.69255e-06 1.51807e-06 -0.000558638 0.000332028 
51 4885 0.000131267 3.34999e-07 4.0668e-05 1.66031e-07 1.74957e-06 1.48425e-06 -0.000558284 0.000334457 
52 4885 0.000129232 3.30498e-07 4.00236e-05 1.58609e-07 1.70873e-06 1.48728e-06 -0.000554892 0.000321469 
53 4885 0.000131341 3.36193e-07 3.92414e-05 1.64693e-07 1.7406e-06 1.47596e-06 -0.000559576 0.000330422 
54 4885 0.000131618 3.37255e-07 4.14837e-05 1.67243e-07 1.70503e-06 1.51342e-06 -0.000561397 0.000334709 
55 4885 0.000130698 3.37417e-07 4.1071e-05 1.64294e-07 1.73743e-06 1.47975e-06 -0.000560643 0.000333137 
56 4885 0.000131931 3.34878e-07 3.93627e-05 1.63845e-07 1.73098e-06 1.47467e-06 -0.000558719 0.000329543 
57 4885 0.000130414 3.36443e-07 4.06396e-05 1.6244e-07 1.68827e-06 1.49911e-06 -0.000560881 0.000327324 
58 4885 0.00013235 3.41773e-07 3.96751e-05 1.6436e-07 1.72906e-06 1.46926e-06 -0.000564964 0.000331587 
59 4885 0.000129011 3.30568e-07 3.94406e-05 1.62194e-07 1.71864e-06 1.47713e-06 -0.000554683 0.000326913 
60 4885 0.000128821 3.32415e-07 4.11328e-05 1.63673e-07 1.67716e-06 1.52327e-06 -0.000557296 0.000327507 
61 4885 0.000128488 3.26027e-07 4.02886e-05 1.66804e-07 1.70706e-06 1.50352e-06 -0.00055077 0.000332708 
62 4885 0.000129389 3.33782e-07 4.10889e-05 1.6911e-07 1.71297e-06 1.51554e-06 -0.000557767 0.000336467 
63 4885 0.000131504 3.37846e-07 3.99311e-05 1.60772e-07 1.73841e-06 1.48449e-06 -0.000561128 0.000324937 
64 4885 0.000129263 3.30049e-07 4.00442e-05 1.61346e-07 1.72103e-06 1.48039e-06 -0.000554198 0.000326524 
65 4885 0.000127885 3.29517e-07 4.08431e-05 1.67497e-07 1.69186e-06 1.50297e-06 -0.000554197 0.000334948 
66 4885 0.000130464 3.34547e-07 3.99671e-05 1.65444e-07 1.71494e-06 1.49929e-06 -0.000558573 0.000330456 
67 4885 0.000129995 3.33451e-07 4.07541e-05 1.66296e-07 1.72496e-06 1.51159e-06 -0.00055728 0.00033201 
68 4885 0.000131592 3.42449e-07 4.04062e-05 1.6965e-07 1.75127e-06 1.49658e-06 -0.000564927 0.000337963 
